ID,Score
01000134,Toán:   7.00   Ngữ văn:   7.50   Vật lí:   6.25   Hóa học:   7.25   Sinh học:   8.00   KHTN: 7.17   Tiếng Anh:   6.60   
01000135,Toán:   8.00   Ngữ văn:   8.50   Lịch sử:   5.75   Địa lí:   6.25   GDCD:   8.50   KHXH: 6.83   Tiếng Anh:   9.20   
01000136,Toán:   7.80   Ngữ văn:   8.50   Lịch sử:   4.25   Địa lí:   4.75   GDCD:   8.00   KHXH: 5.67   Tiếng Anh:   6.60   
01000137,Toán:   7.80   Ngữ văn:   8.25   Lịch sử:   6.75   Địa lí:   7.00   GDCD:   8.50   KHXH: 7.42   Tiếng Anh:   8.00   
01000138,Toán:   7.40   Ngữ văn:   8.25   Lịch sử:   5.00   Địa lí:   7.25   GDCD:   8.50   KHXH: 6.92   Tiếng Anh:   8.40   
01000139,Toán:   8.20   Ngữ văn:   8.50   Lịch sử:   6.75   Địa lí:   5.00   GDCD:   9.25   KHXH: 7   Tiếng Anh:   8.00   
01000140,Toán:   8.20   Ngữ văn:   7.00   Lịch sử:   5.75   Địa lí:   6.75   GDCD:   8.00   KHXH: 6.83   Tiếng Anh:   7.20   
01000141,Toán:   8.40   Ngữ văn:   8.25   Vật lí:   8.00   Hóa học:   6.00   Sinh học:   5.75   KHTN: 6.58   Tiếng Anh:   8.80   
01000142,Toán:   4.80   Ngữ văn:   5.00   Lịch sử:   4.25   Địa lí:   6.25   
01000143,Toán:   8.00   Ngữ văn:   8.75   Lịch sử:   4.00   Địa lí:   5.00   GDCD:   8.50   KHXH: 5.83   Tiếng Anh:   9.00   
01000144,Ngữ văn:   6.50   Lịch sử:   6.25   Địa lí:   5.00   
01000145,Toán:   7.20   Ngữ văn:   8.00   Vật lí:   7.00   Hóa học:   3.75   Sinh học:   6.25   KHTN: 5.67   Tiếng Anh:   8.40   
01000146,Toán:   4.00   Ngữ văn:   6.00   Lịch sử:   2.75   Địa lí:   4.75   
